epoch,gen_loss,disc_loss
1,0.628935523033142,1.257268123626709
2,0.5616282880306244,1.2734194374084473
3,0.6832428896427154,1.2175903582572938
4,0.7580909198522567,1.2245529317855834
5,0.754779099225998,1.2659533143043518
6,0.7398527836799622,1.3038123798370362
7,0.7302697098255158,1.3282472443580629
8,0.7217498803138733,1.337530689239502
9,0.721216322183609,1.342438497543335
10,0.7187842392921447,1.3497702264785767
11,0.7133905231952667,1.3546555972099303
12,0.7164611065387726,1.3531661415100098
13,0.7101056051254272,1.3535143446922302
14,0.709338892698288,1.3530403995513915
15,0.7073123574256897,1.3568821024894715
16,0.7072582447528839,1.3615781307220458
17,0.7059174227714539,1.363615288734436
18,0.7048815178871155,1.3637063384056092
19,0.70308429479599,1.3630362462997436
20,0.7039614057540894,1.3639294600486755
21,0.7050530755519867,1.3667464995384215
22,0.7032752418518067,1.3659793210029603
23,0.7022232007980347,1.369634928703308
24,0.7037719547748565,1.368083086013794
25,0.7029223954677581,1.3682686924934386
26,0.7032224905490875,1.3702388191223145
27,0.7027737379074097,1.3682073330879212
28,0.7033385717868805,1.3676676297187804
29,0.7032031524181366,1.3701038908958436
30,0.7049842500686645,1.3669715738296508
31,0.7042809367179871,1.3666282153129579
32,0.7044014811515809,1.3674834275245666
33,0.7021767556667328,1.3658633947372436
34,0.7023961544036865,1.3659413981437682
35,0.7030020594596863,1.3686682653427125
36,0.7050462508201599,1.367074944972992
37,0.7049455642700195,1.3655108833312988
38,0.7065965175628662,1.3646019101142883
39,0.7032173275947571,1.3665200686454773
40,0.7023809874057769,1.3661961603164672
41,0.7003336024284362,1.3644434428215027
42,0.7054811298847199,1.3655083656311036
43,0.7033181238174439,1.3651802778244018
44,0.7024828505516052,1.362875325679779
45,0.7051768922805786,1.3616995692253113
46,0.7024516141414643,1.363465006351471
47,0.7066538178920746,1.3615293431282043
48,0.7037917327880859,1.3647819685935973
49,0.7078000676631927,1.364869613647461
50,0.7073921549320221,1.3627754855155945
