epoch,gen_loss,disc_loss
1,0.6378242436875688,1.3059308077426668
2,0.7274378956632411,1.327212170337109
3,0.7294313808704944,1.3461670956713088
4,0.7422870334158552,1.3375555337743557
5,0.7561891127139964,1.3204356523270302
6,0.7884378013458658,1.298490404575429
7,0.799804356503994,1.2818264322077975
8,0.7957115891131948,1.2824384755276619
9,0.784310611638617,1.3038176774978638
10,0.7699314031195134,1.3235766958683095
11,0.7645110741574713,1.3310001768964401
12,0.7582225041186555,1.3369885916405535
13,0.7485715029087473,1.3448502403624514
14,0.7464377664505167,1.346401631578486
15,0.7573686680895217,1.3382261408136247
16,0.7435609781995732,1.3463315334725887
17,0.7406903989771579,1.3474197534804648
18,0.7456066316746651,1.3429030743051082
19,0.7604756248758194,1.3360681229449334
20,0.7442148586536975,1.3401974688185023
21,0.7458584176733138,1.3403550807465898
22,0.7762112774747483,1.3222207363615646
23,0.7496085009676345,1.3372832881643417
24,0.7521714187682943,1.336239425172197
25,0.77139426774167,1.3264241401185382
26,0.770249232586394,1.325203509533659
27,0.761921559242492,1.3293337522669042
28,0.7656475041774993,1.3296691498857864
29,0.7573962627573216,1.3316929284562455
30,0.7570588885469639,1.3342729974300302
31,0.7583923032943238,1.3330651536900946
32,0.7893101212826181,1.3175290670800717
33,0.7583515646609854,1.3304383425002402
34,0.7609750610716799,1.3303577762968997
35,0.7857395598228941,1.318775152145548
36,0.7773065582234808,1.3223688039373844
37,0.7763299520979536,1.3249516649449125
38,0.7743140844588584,1.3225200155948071
39,0.7698971152305603,1.3249424178549585
40,0.7650405612397702,1.3270514285310786
41,0.7681190224404031,1.32524156773344
42,0.7977486166548222,1.3139257431030273
43,0.7670546285649563,1.325144162076585
44,0.7679765554184609,1.3255747434940743
45,0.774390697479248,1.3285017211386498
46,0.7899981719382265,1.3145228264179636
47,0.7808118690835669,1.3211822347438082
48,0.7873924014416147,1.3171122982146892
49,0.7745691464302388,1.3221103607340061
50,0.7697021230738214,1.3255342067556177
